med_id;pro_id;tym_id;media_libelle;media_ressource
240;240;1;mh13-tee-shirt-moulant-couleurs;mh13-tee-shirt-moulant-couleurs.jpg
241;241;1;mh12bis-chemise-blanche-a-manches-courtes;mh12bis-chemise-blanche-a-manches-courtes.jpg
242;242;1;mh12-chemise-blanche-manches-longues;mh12-chemise-blanche-manches-longues.jpg
243;243;1;mh1b-top-blanc;mh1b-top-blanc.jpg
244;244;1;mh1a-top-noir;mh1a-top-noir.jpg
245;245;1;mh8r-haut-disco-rouge-a-paillettes;mh8r-haut-disco-rouge-a-paillettes.jpg
246;246;1;mh9c-chemise-danseur-classique-blanche;mh9c-chemise-danseur-classique-blanche.jpg
247;247;1;mh17-top-croise-noir;mh17-top-croise-noir.jpg
248;248;1;mh2-chemise-de-caractere;mh2-chemise-de-caractere.jpg
249;249;1;mh10-haut-orange-bariole;mh10-haut-orange-bariole.jpg
250;250;1;mh4-haut-marin;mh4-haut-marin.jpg
251;251;1;mh12b-chemise-blanche-manches-longues;mh12b-chemise-blanche-manches-longues.jpg
252;252;1;mhj3-justaucorps-blanc;mhj3-justaucorps-blanc.jpg
253;253;1;mh9b-chemise-danseur-classique-blanche;mh9b-chemise-danseur-classique-blanche.jpg
254;254;1;mh9a-chemise-de-danseur-noire;mh9a-chemise-de-danseur-noire.jpg
255;255;1;mh8-haut-disco;mh8-haut-disco.jpg
256;256;1;mh7-tee-shirt-de-couleur;mh7-tee-shirt-de-couleur.jpg
257;257;1;mh6-haut-blanc-avec-voiles;mh6-haut-blanc-avec-voiles.jpg
258;258;1;mh26c-cache-coeur-manches-courtes-turquoise;mh26c-cache-coeur-manches-courtes-turquoise.jpg
259;259;1;mh8b-haut-disco-rose-graphique;mh8b-haut-disco-rose-graphique.jpg
260;260;1;mh26n-cache-coeur-noir;mh26n-cache-coeur-noir.jpg
261;261;1;mh26b-cache-coeur-blanc;mh26b-cache-coeur-blanc.jpg
262;262;1;mh1c-top-dore;mh1c-top-dore.jpg
263;263;1;mh1n-top-noir;mh1n-top-noir.jpg
264;264;1;gtc11-jupe-de-tutu-12-plateau-bordeaux-et-noir;gtc11-jupe-de-tutu-12-plateau-bordeaux-et-noir.jpg
265;265;1;mh31-haut-col-mao-noir;mh31-haut-col-mao-noir.jpg
266;266;1;mh29-haut-habille-bordeaux-avec-paillettes;mh29-haut-habille-bordeaux-avec-paillettes.jpg
267;267;1;mh28-tee-shirt-a-manche-couleur-feu;mh28-tee-shirt-a-manche-couleur-feu.jpg
268;268;1;mh27-tee-shirt-arc-en-ciel;mh27-tee-shirt-arc-en-ciel.jpg
269;269;1;mh16a-marcel-vert-anis;mh16a-marcel-vert-anis.jpg
270;270;1;mh25-cache-coeur-manches-courtes-vert-anis;mh25-cache-coeur-manches-courtes-vert-anis.jpg
271;271;1;mh16b-marcel-orange;mh16b-marcel-orange.jpg
272;272;1;mh15b-haut-habille-gris-une-manche;mh15b-haut-habille-gris-une-manche.jpg
273;273;1;mjc10b-jupe-courte-bouffante-grise;mjc10b-jupe-courte-bouffante-grise.jpg
274;274;1;mh14-haut-a-motifs-cachemire-violet;mh14-haut-a-motifs-cachemire-violet.jpg
275;275;1;mh22-tee-shirt-mondrian-noir-et-blanc;mh22-tee-shirt-mondrian-noir-et-blanc.jpg
276;276;1;mh26a-cache-coeur-manches-courtes-rouge;mh26a-cache-coeur-manches-courtes-rouge.jpg
277;277;1;mh21-tee-shirt-vert-anis;mh21-tee-shirt-vert-anis.jpg
278;278;1;mh20-chemise-russe;mh20-chemise-russe.jpg
279;279;1;mjc7-jupe-de-caractere;mjc7-jupe-de-caractere.jpg
280;280;1;mh16c-assortiment-marcels-de-couleurs-vives;mh16c-assortiment-marcels-de-couleurs-vives.jpg
281;281;1;mh5-tee-shirt-matiss;mh5-tee-shirt-matiss.jpg
282;282;1;mh18-mariniere-seule;mh18-mariniere-seule.jpg
283;283;1;mh11-tee-shirt-assortiment-de-couleurs;mh11-tee-shirt-assortiment-de-couleurs.jpg
284;284;1;mh30-tee-shirt-homme-col-en-v-a-manches-courtes;mh30-tee-shirt-homme-col-en-v-a-manches-courtes.jpg
285;285;1;gh4-haut-fines-bretelles-a-paillettes-assortiment-de-couleurs;gh4-haut-fines-bretelles-a-paillettes-assortiment-de-couleurs.jpg
286;286;1;gh32-marcel-noir;gh32-marcel-noir.jpg
287;287;1;gh20a-haut-dentelle-noir;gh20a-haut-dentelle-noir.jpg
288;288;1;gh20b-haut-dentelle-blanc;gh20b-haut-dentelle-blanc.jpg
289;289;1;gh20c-haut-a-dentelle-rouge;gh20c-haut-a-dentelle-rouge.jpg
290;290;1;gh2-tee-shirt-paillete;gh2-tee-shirt-paillete.jpg
